City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Nandyal,IN,79.25,broken clouds,15.4833,78.4833,Hotel Shobha
239,Ishigaki,JP,84.15,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
242,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
245,Wabash,US,88.21,overcast clouds,40.7978,-85.8205,"Holiday Inn Express & Suites Wabash, an IHG Hotel"
247,Aloleng,PH,82.18,heavy intensity rain,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
248,Dingle,PH,78.12,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
249,Chalus,IR,80.06,overcast clouds,36.655,51.4204,نظام مهندسي ساختمان چالوس
251,Manokwari,ID,78.26,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
255,Daru,PG,77.18,overcast clouds,-9.0763,143.2092,Daru Lodge
259,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
260,Agadir,MA,79.25,broken clouds,30.4202,-9.5982,Iberostar Founty Beach
266,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
271,Norfolk,US,84.61,clear sky,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
273,Naze,JP,77.32,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
284,Sulangan,PH,83.41,scattered clouds,11.1373,123.7228,Maia's Beach Resort
286,Kushima,JP,78.12,overcast clouds,31.4583,131.2333,Hanaoka
292,Mandera,KE,80.94,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
295,La Asuncion,VE,87.53,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
296,Armeria,MX,89.2,scattered clouds,18.9333,-103.9667,Hotel la Herradura
299,Guerrero Negro,MX,78.67,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
305,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
308,Sinnamary,GF,80.8,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
310,Kampot,KH,77.05,light rain,10.6167,104.1833,Two Moons Hotel
311,Roma,US,84.06,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
312,White Rock,CA,82.94,clear sky,49.0164,-122.8026,Ocean Promenade Hotel
313,Auki,SB,77.43,overcast clouds,-8.7676,160.7034,Auki Motel
315,Candolim,IN,80.6,broken clouds,15.5181,73.7626,Resort Terra Paraiso
317,Pasighat,IN,78.26,overcast clouds,28.0667,95.3333,Siang Guest House
318,Kavaratti,IN,82.22,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
320,Chok Chai,TH,77.81,overcast clouds,14.7284,102.1652,โรงแรม ที่พัก ปลายนา รีสอร์ท โชคชัย นครราชสีมา โคราช
322,Denpasar,ID,76.66,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
328,Paka,MY,80.53,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
329,Mersing,MY,78.71,broken clouds,2.4312,103.8405,Timotel Hotel
331,Djibo,BF,88.03,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
335,Kathu,TH,86.7,light rain,7.9178,98.3332,Novotel Phuket Resort
343,Panalingaan,PH,79.74,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
344,Cordoba,AR,77.76,clear sky,-31.4135,-64.1811,Hotel Sussex
